Loan_ID,Customer_ID,Loan_Date,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term,EMI,Loan_Status
44690,4469,2022-10-26,Business,1354071,9.25,180,8218.46,Active
44691,4469,2023-03-30,Education,4015699,15.98,240,19405.87,Closed
44692,4469,2025-02-01,Auto,5990341,9.56,180,36461.21,Active
44700,4470,2022-05-10,Gold,1112265,11.01,120,10289.38,Active
44701,4470,2020-08-20,Business,6468258,12.9,240,30427.76,Active
44710,4471,2021-06-04,Auto,4806208,16.18,240,23266.05,Active
44711,4471,2022-01-19,Auto,2218747,14.97,240,10628.72,Closed
44712,4471,2023-01-13,Auto,1016440,17.96,240,4995.8,Closed
44720,4472,2023-05-30,Home,5027773,10.15,240,23075.38,Active
44730,4473,2024-03-02,Home,4017973,10.15,36,122938.81,Active
44731,4473,2025-01-01,Home,331948,13.29,12,31338.66,Active
44732,4473,2022-07-07,Personal,6757723,7.6,300,24237.7,Active
44740,4474,2024-06-05,Business,7266346,15.52,12,699506.91,Active
44741,4474,2021-03-28,Education,438486,14.03,36,13889.04,Active
44750,4475,2020-09-24,Gold,2699779,8.97,180,16344.16,Active
44751,4475,2021-08-09,Home,4486935,13.15,300,16923.22,Closed
44760,4476,2020-02-29,Business,7965818,6.93,120,70982.08,Active
44761,4476,2022-02-18,Personal,4835240,17.6,24,236926.76,Closed
44770,4477,2024-08-13,Auto,3183915,13.35,180,20049.82,Active
44780,4478,2023-11-13,Home,6228532,14.1,24,296114.79,Closed
44790,4479,2020-04-27,Auto,4351801,8.15,24,196103.03,Active
44791,4479,2023-05-18,Personal,5439215,8.37,24,245603.22,Closed
44800,4480,2024-12-21,Gold,1497633,9.58,240,6837.94,Active
44801,4480,2023-01-05,Personal,3614007,10.18,24,165913.04,Closed
44810,4481,2020-09-05,Business,5259761,14.48,60,100356.24,Default
44820,4482,2021-05-14,Business,7233277,8.87,60,131247.81,Active
44821,4482,2024-10-24,Auto,7957166,12.66,12,747045.27,Closed
44822,4482,2021-08-15,Auto,3638785,10.55,240,16761.15,Closed
44830,4483,2021-09-14,Personal,6281083,12.92,60,118209.98,Closed
44831,4483,2020-02-02,Home,4961045,17.55,12,485975.7,Active
44840,4484,2025-06-20,Business,1442133,14.67,240,6890.39,Closed
44841,4484,2021-06-15,Business,7350807,8.69,240,33289.97,Active
44850,4485,2025-01-10,Personal,4074904,10.25,300,14975.27,Active
44851,4485,2020-04-04,Business,4830756,10.24,60,88757.09,Active
44860,4486,2024-11-03,Auto,7390302,11.35,180,45717.23,Closed
44870,4487,2020-11-15,Auto,3435455,11.8,12,320069.89,Active
44871,4487,2022-08-31,Auto,2679040,17.82,24,131518.54,Active
44872,4487,2024-09-19,Business,2497183,12.05,12,233174.46,Default
44880,4488,2023-11-04,Business,3924483,14.98,240,18801.54,Active
44890,4489,2021-03-25,Education,2673478,15.29,12,256854.4,Active
44891,4489,2023-04-16,Auto,5147103,8.7,36,155413.92,Closed
44900,4490,2024-10-11,Business,7436876,14.31,60,141684.88,Active
44910,4491,2024-06-29,Personal,1693825,9.74,24,77450.15,Default
44911,4491,2024-03-26,Education,4715010,16.73,120,45865.26,Active
44912,4491,2023-10-12,Home,2146665,8.22,240,9679.67,Active
44920,4492,2021-03-20,Education,5751860,7.84,36,172300.16,Default
44921,4492,2024-01-14,Personal,6378189,9.4,300,23259.13,Closed
44930,4493,2022-09-14,Auto,4631012,15.98,120,44758.73,Active
44940,4494,2024-12-06,Home,2792216,9.66,36,85054.0,Closed
44941,4494,2021-04-14,Gold,5101277,12.32,24,238739.76,Closed
44950,4495,2020-11-18,Gold,4452680,12.07,120,41584.32,Active
44960,4496,2021-12-04,Home,5384261,11.86,60,100380.57,Default
44961,4496,2020-08-27,Education,3184752,16.63,60,61906.27,Active
44962,4496,2020-10-24,Gold,3004714,14.82,180,19166.74,Closed
44970,4497,2024-06-30,Business,1066160,11.81,180,6622.63,Active
44980,4498,2023-10-05,Gold,7406842,8.26,36,222740.2,Active
44990,4499,2021-03-12,Gold,4583320,15.56,120,44137.37,Closed
45000,4500,2024-07-18,Personal,553222,6.97,180,3287.68,Closed
45001,4500,2024-09-13,Auto,5028219,13.28,60,94932.77,Closed
45002,4500,2024-02-02,Business,4736766,13.47,180,29860.05,Active
45010,4501,2020-11-04,Home,7234812,15.05,120,69363.76,Active
45011,4501,2023-05-01,Education,5134190,7.97,60,92389.75,Active
45020,4502,2022-10-22,Business,261083,12.23,300,976.71,Active
45021,4502,2020-01-03,Business,6862983,13.55,120,64940.98,Active
45022,4502,2020-12-08,Education,2234377,8.23,120,20152.22,Closed
45030,4503,2021-11-22,Education,5396257,9.34,60,98337.79,Default
45031,4503,2024-06-04,Gold,7377351,8.3,60,133161.19,Closed
45032,4503,2024-02-10,Home,1797907,8.62,24,81370.27,Active
45040,4504,2022-05-19,Gold,6101947,8.27,36,183516.06,Active
45041,4504,2020-11-25,Auto,1686412,14.42,60,32159.88,Active
45050,4505,2021-07-26,Business,5456472,7.99,24,245518.5,Active
45060,4506,2021-06-08,Personal,7583206,14.78,120,72533.37,Active
45061,4506,2021-04-05,Home,3602009,13.92,180,22796.71,Active
45062,4506,2020-11-12,Education,6267281,7.54,36,187217.61,Default
45070,4507,2023-08-26,Home,5903467,10.82,240,27259.26,Closed
45080,4508,2023-12-15,Education,6555132,9.03,24,297794.18,Closed
45090,4509,2021-04-25,Home,1005989,8.35,12,90832.42,Default
45100,4510,2021-06-26,Business,1126947,9.39,180,6848.71,Default
45110,4511,2021-11-29,Business,6755403,15.61,36,216942.26,Default
45111,4511,2022-09-14,Auto,2825659,15.68,24,136196.76,Closed
45112,4511,2024-03-22,Gold,4299085,8.29,36,129318.87,Active
45120,4512,2024-10-05,Education,1128982,17.55,36,36864.4,Closed
45121,4512,2021-04-20,Home,6806221,16.73,36,220691.72,Active
45130,4513,2022-11-23,Personal,3782938,13.79,300,14348.68,Active
45131,4513,2022-09-13,Personal,5649274,13.88,180,35741.07,Active
45140,4514,2023-11-03,Business,6969160,14.3,120,66381.25,Active
45141,4514,2025-04-19,Auto,7567779,11.97,240,35306.84,Active
45150,4515,2021-10-20,Home,890933,8.9,300,3234.09,Active
45151,4515,2020-05-26,Gold,7004291,11.17,120,64888.92,Closed
45152,4515,2020-11-16,Personal,4922458,8.03,300,17725.77,Active
45160,4516,2024-03-28,Personal,6994012,12.69,180,43786.4,Active
45161,4516,2024-03-19,Home,2199414,13.62,120,20824.78,Default
45162,4516,2024-06-15,Business,1344317,12.38,180,8393.02,Active
45170,4517,2023-03-23,Business,1675298,15.35,180,10735.87,Active
45180,4518,2022-05-22,Education,6249770,14.31,240,29767.13,Active
45181,4518,2020-01-03,Business,1844864,11.15,300,6835.22,Active
45182,4518,2020-04-22,Auto,757173,14.5,36,24082.31,Active
45190,4519,2022-08-12,Gold,7238422,9.84,300,26502.28,Active
45200,4520,2024-03-30,Gold,6899978,13.76,180,43607.86,Active
45201,4520,2021-05-25,Gold,5470525,8.13,120,49293.99,Active
45210,4521,2023-03-29,Home,232222,12.95,24,10928.95,Closed
45211,4521,2025-03-25,Auto,1623913,14.24,300,6183.86,Default
45220,4522,2023-05-06,Business,2765243,7.24,36,82373.52,Active
45221,4522,2020-05-29,Home,4200625,14.66,120,40136.97,Closed
45230,4523,2022-09-07,Home,2212245,17.12,36,71971.7,Active
45240,4524,2022-06-10,Auto,6092552,12.0,60,113727.64,Closed
45250,4525,2022-12-17,Gold,5121508,11.3,120,47501.99,Default
45251,4525,2022-03-06,Business,6025824,8.63,120,54548.77,Closed
45252,4525,2021-01-27,Home,7958895,7.47,24,356392.69,Active
45260,4526,2021-03-24,Education,5384286,17.86,300,21153.06,Active
45261,4526,2020-07-18,Business,5815635,8.37,36,175066.77,Active
45262,4526,2022-12-27,Auto,6431638,9.14,12,584957.48,Active
45270,4527,2021-01-24,Gold,2418945,12.2,60,45234.27,Closed
45271,4527,2022-04-27,Personal,6537748,12.73,12,614166.94,Active
45280,4528,2022-07-26,Business,3057494,14.04,240,14528.19,Default
45290,4529,2024-06-15,Auto,5393795,10.35,240,24800.22,Closed
45300,4530,2024-06-28,Gold,5608585,13.3,60,105908.78,Active
45301,4530,2020-05-21,Business,2618092,6.89,12,233206.54,Default
45310,4531,2025-03-19,Business,7819237,7.61,300,28047.6,Active
45320,4532,2024-10-09,Personal,3061378,11.95,180,19040.07,Default
45321,4532,2025-03-27,Education,2712925,9.87,180,16559.39,Active
45330,4533,2022-09-24,Home,5588538,14.86,60,106983.25,Default
45340,4534,2025-02-26,Personal,1819354,11.63,180,11283.03,Closed
45341,4534,2024-09-06,Business,921221,8.46,12,83263.02,Closed
45350,4535,2020-02-09,Education,1713412,15.88,120,16545.85,Active
45351,4535,2021-09-23,Business,5927845,6.69,180,35135.65,Active
45360,4536,2021-02-08,Personal,7577262,8.71,60,137287.36,Closed
45370,4537,2025-05-15,Education,2914569,10.28,300,10713.96,Active
45371,4537,2024-01-08,Business,7440168,14.97,60,142566.02,Active
45372,4537,2023-07-07,Gold,5690610,10.04,300,20873.16,Active
45380,4538,2020-05-16,Personal,7868630,8.29,12,710078.29,Active
45381,4538,2024-04-08,Education,1381366,17.74,120,13553.5,Active
45390,4539,2022-09-06,Business,6019028,11.21,300,22312.54,Active
45400,4540,2021-04-06,Education,4945400,15.63,36,158843.5,Active
45401,4540,2021-08-13,Education,7407348,7.14,240,33067.64,Active
45402,4540,2020-03-03,Home,2141625,9.24,60,38991.85,Default
45410,4541,2024-01-29,Business,2625168,12.85,60,49375.03,Closed
45411,4541,2021-03-07,Auto,1980745,17.83,60,38898.53,Closed
45420,4542,2021-07-30,Gold,4804285,9.22,24,218635.0,Active
45421,4542,2021-03-08,Business,4005573,11.71,300,14915.42,Closed
45430,4543,2021-02-20,Home,2245208,16.49,300,8718.14,Closed
45431,4543,2023-06-17,Personal,1054468,14.0,24,50087.23,Active
45440,4544,2020-03-07,Auto,3034114,17.69,180,19838.05,Active
45441,4544,2022-01-24,Home,2837436,14.23,300,10804.01,Closed
45450,4545,2021-12-27,Home,3577837,11.21,300,13263.04,Active
45451,4545,2022-08-06,Education,7151351,10.81,60,132073.53,Active
45460,4546,2025-05-16,Home,2646452,10.04,60,48535.93,Closed
45470,4547,2020-10-12,Education,6597758,12.95,240,31050.7,Closed
45480,4548,2020-09-12,Gold,2083498,11.81,60,38825.99,Closed
45490,4549,2025-04-15,Personal,271288,6.93,12,24174.02,Active
45491,4549,2021-04-28,Business,3991229,13.69,36,126045.23,Active
45500,4550,2020-06-10,Personal,1589990,9.22,36,48238.53,Active
45501,4550,2024-03-03,Home,6256923,7.21,12,559003.93,Active
45510,4551,2024-10-28,Gold,7393057,17.1,60,144287.83,Closed
45511,4551,2024-03-29,Education,6705033,16.74,60,130457.59,Active
45512,4551,2024-05-17,Auto,327047,15.88,180,2105.46,Active
45520,4552,2024-09-21,Gold,248597,13.23,120,2345.72,Active
45521,4552,2024-04-03,Home,3557248,6.62,60,63212.3,Closed
45522,4552,2024-11-21,Business,606960,10.33,300,2232.2,Closed
45530,4553,2024-07-09,Business,2500425,11.49,300,9292.41,Active
45540,4554,2020-01-14,Personal,5623148,10.74,120,51892.28,Closed
45550,4555,2020-09-09,Personal,7684495,15.42,120,73912.03,Active
45551,4555,2020-08-02,Personal,4846432,15.11,36,154964.66,Active
45552,4555,2025-03-24,Home,493268,13.93,12,46831.69,Default
45560,4556,2023-02-26,Personal,6217267,17.4,36,202751.98,Default
45570,4557,2021-01-19,Education,4689529,17.16,240,22892.72,Active
45580,4558,2025-05-07,Business,4283697,11.51,240,19903.13,Active
45581,4558,2024-05-22,Business,7887988,11.42,300,29295.99,Active
45590,4559,2021-02-18,Home,7025955,14.03,36,222547.12,Active
45591,4559,2023-06-05,Gold,6638333,15.07,300,25462.43,Active
45592,4559,2024-08-24,Auto,4185933,7.73,300,15031.69,Active
45600,4560,2020-03-12,Business,3726672,15.49,12,358661.12,Default
45601,4560,2023-01-21,Personal,3252210,9.28,24,148083.96,Active
45610,4561,2021-03-23,Home,3897859,17.42,120,38140.55,Active
45620,4562,2022-02-21,Education,6705039,11.52,36,207707.21,Active
45630,4563,2023-03-08,Personal,722166,8.67,60,13079.63,Active
45631,4563,2020-11-09,Auto,3344476,13.8,24,158583.9,Closed
45632,4563,2024-07-28,Gold,1958974,10.23,120,17994.81,Closed
45640,4564,2021-02-24,Business,4377093,15.82,24,211231.21,Active
45650,4565,2025-02-20,Personal,5872312,15.25,60,112797.33,Closed
45651,4565,2020-07-24,Business,2647205,8.24,12,238777.89,Active
45652,4565,2021-11-13,Education,1583428,8.73,240,7173.59,Active
45660,4566,2021-07-08,Education,5135928,15.41,180,32929.86,Closed
45670,4567,2025-05-12,Home,6841191,15.7,120,65960.48,Active
45671,4567,2024-06-13,Personal,1280155,9.26,120,11655.81,Active
45672,4567,2022-05-28,Business,164253,10.42,240,755.7,Closed
45680,4568,2022-11-25,Education,6294440,12.48,12,589998.84,Active
45681,4568,2021-04-08,Home,1457835,15.4,180,9346.34,Closed
45682,4568,2021-01-28,Auto,4210435,8.32,36,126687.31,Active
45690,4569,2020-05-31,Home,1599940,7.01,300,5706.99,Closed
45700,4570,2022-07-25,Education,3971671,12.81,36,124456.72,Active
45710,4571,2025-01-15,Home,6460323,12.65,120,60646.28,Default
45711,4571,2023-05-12,Home,526220,17.42,180,3432.71,Active
45712,4571,2024-06-18,Home,5738917,9.28,36,174208.01,Closed
45720,4572,2024-10-09,Home,2509180,12.52,24,117638.72,Active
45730,4573,2024-06-22,Home,1285096,13.12,12,121141.72,Closed
45740,4574,2024-07-15,Personal,3141541,14.32,36,99761.38,Active
45741,4574,2022-10-06,Business,6473932,10.72,240,29866.41,Active
45742,4574,2023-05-04,Home,5293636,13.94,240,25131.54,Closed
45750,4575,2022-05-29,Auto,5245779,10.59,240,24172.11,Active
45751,4575,2021-06-08,Personal,2410966,10.68,240,11118.57,Active
45760,4576,2022-04-17,Business,7756047,12.62,60,145581.0,Active
45761,4576,2022-09-10,Home,4168963,13.4,60,78793.4,Active
45762,4576,2020-08-27,Home,890902,10.95,36,27457.1,Active
45770,4577,2023-09-26,Gold,3647527,12.56,24,171069.02,Active
45780,4578,2021-08-20,Personal,2727787,12.47,60,51132.37,Active
45781,4578,2023-05-09,Personal,7608918,17.86,240,37366.13,Closed
45782,4578,2025-05-05,Personal,7268291,14.63,24,347151.75,Active
45790,4579,2020-05-27,Home,5367078,13.55,24,253929.88,Default
45800,4580,2022-05-14,Personal,2530720,15.63,120,24385.6,Active
45801,4580,2021-07-13,Home,3764834,17.6,12,368953.73,Active
45810,4581,2023-03-13,Education,400788,14.63,120,3828.53,Closed
45811,4581,2023-03-04,Home,633791,16.69,240,3081.54,Active
45812,4581,2021-04-20,Personal,1298986,8.61,240,5878.45,Closed
45820,4582,2023-12-16,Personal,4804434,17.09,12,468792.65,Closed
45830,4583,2023-11-28,Auto,1822677,8.92,60,33087.66,Active
45840,4584,2022-09-26,Personal,4781392,11.85,12,445665.58,Closed
45841,4584,2021-10-26,Education,536186,12.31,120,5018.25,Closed
45850,4585,2021-01-24,Education,642609,16.89,120,6259.55,Active
45851,4585,2023-03-10,Personal,6857661,15.76,12,661535.7,Closed
45852,4585,2024-05-10,Auto,5894161,7.97,120,53032.71,Active
45860,4586,2024-03-01,Personal,295508,11.0,12,27334.49,Closed
45870,4587,2022-10-16,Home,4496686,13.53,36,141807.99,Closed
45871,4587,2021-01-17,Business,6761480,7.37,120,60498.34,Closed
45872,4587,2023-04-22,Personal,6192203,16.53,24,300657.26,Active
45880,4588,2025-03-26,Auto,1025362,17.11,24,50033.39,Active
45881,4588,2020-07-19,Home,6372036,14.74,300,24370.91,Active
45882,4588,2020-10-24,Auto,5245037,8.72,24,237600.18,Closed
45890,4589,2022-09-04,Home,7346166,17.23,300,28706.37,Active
45900,4590,2023-09-29,Business,5857043,12.08,120,54704.78,Closed
45901,4590,2023-07-23,Auto,2817767,11.7,12,262287.14,Active
45902,4590,2020-04-07,Personal,4239766,8.71,24,192043.73,Active
45910,4591,2024-06-07,Personal,3511686,7.19,60,62736.27,Active
45911,4591,2020-08-26,Auto,1916019,11.01,12,177247.72,Active
45912,4591,2023-10-31,Auto,1788493,8.33,300,6458.25,Active
45920,4592,2021-08-24,Auto,6251903,9.23,12,569079.47,Active
45930,4593,2020-11-15,Home,7443355,12.12,60,139091.49,Closed
45931,4593,2025-02-21,Business,1177712,6.71,240,5236.4,Closed
45932,4593,2022-04-03,Personal,6190536,13.71,12,586604.87,Active
45940,4594,2021-02-14,Home,4548606,14.29,300,17328.67,Closed
45941,4594,2022-05-08,Personal,7630039,8.55,12,690200.61,Closed
45950,4595,2020-06-02,Gold,450062,12.69,240,2113.23,Closed
45960,4596,2024-06-12,Gold,5628183,15.1,120,53983.66,Active
45961,4596,2023-10-27,Auto,2371490,14.24,240,11288.29,Closed
45962,4596,2021-07-18,Gold,4890933,7.14,180,29111.92,Closed
45970,4597,2020-04-10,Business,6654640,12.81,120,62559.16,Default
45980,4598,2022-11-12,Gold,4044962,10.38,180,24804.61,Closed
45981,4598,2024-10-17,Gold,5808928,6.75,36,172250.85,Default
45990,4599,2022-03-27,Auto,2870346,11.15,24,132932.9,Active
46000,4600,2022-04-18,Business,4439664,16.94,60,86529.05,Active
46001,4600,2024-07-04,Home,4338728,15.16,12,416373.26,Active
46010,4601,2024-11-21,Education,1244573,14.89,60,23831.5,Active
46020,4602,2024-05-10,Gold,6317195,13.24,240,29806.63,Closed
46021,4602,2020-01-07,Business,2546090,13.9,60,48333.28,Closed
46030,4603,2024-08-14,Business,3184835,7.08,240,14209.67,Active
46031,4603,2024-02-15,Business,7483566,14.99,120,71711.27,Active
46032,4603,2022-11-28,Education,5094949,16.17,120,49323.35,Closed
46040,4604,2022-12-08,Auto,4498060,7.25,36,134004.7,Active
46041,4604,2020-08-20,Education,7537908,17.23,120,73639.08,Active
46042,4604,2021-08-15,Gold,843715,7.67,12,75702.33,Active
46050,4605,2020-10-06,Gold,3314747,10.88,12,306282.62,Active
46060,4606,2023-05-28,Gold,4336836,9.08,60,78843.68,Active
46061,4606,2024-07-08,Business,2779318,11.88,240,12956.25,Active
46062,4606,2024-06-28,Gold,4200091,8.7,300,15218.33,Active
46070,4607,2023-05-30,Education,2224170,8.3,120,20073.13,Active
46071,4607,2021-02-12,Personal,7678715,14.4,12,732037.5,Active
46080,4608,2021-01-04,Home,3882629,8.92,240,17620.66,Active
46090,4609,2024-10-24,Education,7470418,15.1,24,358268.8,Active
46091,4609,2025-03-05,Education,4824227,7.82,60,86691.36,Default
46100,4610,2022-09-06,Auto,3588129,8.09,24,161600.36,Closed
46101,4610,2020-12-26,Auto,505971,9.81,120,4630.06,Active
46102,4610,2024-10-05,Home,4130478,17.48,300,16174.95,Closed
46110,4611,2023-09-27,Auto,3334054,9.7,60,60957.62,Active
46111,4611,2021-04-19,Personal,161657,12.88,240,760.33,Active
46112,4611,2024-08-27,Education,3456032,7.3,120,30902.69,Closed
46120,4612,2020-12-30,Business,7018639,9.51,24,320254.65,Active
46121,4612,2020-02-13,Gold,5309493,8.1,12,478296.83,Active
46122,4612,2022-07-24,Auto,2388567,7.63,180,14282.3,Closed
46130,4613,2025-01-12,Gold,5169918,8.91,36,156404.38,Active
46140,4614,2021-02-11,Home,3554906,7.31,180,21193.16,Active
46141,4614,2022-10-21,Personal,6566755,8.63,180,39630.37,Active
46150,4615,2024-07-10,Personal,1070521,17.04,120,10441.15,Active
46160,4616,2021-12-14,Business,4055800,13.85,60,76958.8,Closed
46170,4617,2022-06-10,Education,5706026,9.89,300,20901.17,Closed
46180,4618,2020-04-22,Home,1620080,14.63,12,154758.14,Active
46190,4619,2023-07-04,Home,7739632,13.58,120,73255.62,Active
46200,4620,2020-05-29,Gold,392232,17.68,180,2564.33,Active
46210,4621,2021-07-10,Gold,2369119,16.47,60,45988.55,Active
46211,4621,2020-02-17,Personal,2544984,11.37,36,78731.91,Active
46220,4622,2020-08-17,Gold,455855,11.43,240,2116.5,Active
46221,4622,2021-03-18,Gold,7988331,17.74,120,78378.84,Closed
46222,4622,2025-01-14,Gold,960326,15.2,36,30730.43,Active
46230,4623,2021-10-17,Business,7484767,16.08,180,48268.43,Active
46240,4624,2022-09-16,Gold,4591805,12.04,180,28581.44,Closed
46241,4624,2020-12-01,Business,6189660,8.53,24,279901.58,Closed
46250,4625,2020-02-08,Gold,6313559,17.14,12,616308.58,Closed
46251,4625,2024-09-25,Education,7754186,10.83,300,28646.55,Active
46260,4626,2022-03-18,Auto,7241154,11.55,60,134625.12,Active
46261,4626,2020-06-28,Business,6453382,9.65,120,58967.78,Active
46262,4626,2022-03-16,Personal,1179760,14.92,24,56490.84,Active
46270,4627,2022-05-14,Home,6256250,10.95,36,192814.15,Active
46271,4627,2021-08-09,Personal,6721525,13.71,240,31846.03,Active
46272,4627,2023-05-13,Home,2491149,14.07,180,15786.96,Active
46280,4628,2020-03-16,Business,2169449,6.71,180,12861.22,Default
46281,4628,2022-12-10,Personal,5967011,6.77,60,106182.96,Active
46282,4628,2022-09-01,Business,3498823,15.05,300,13417.99,Active
46290,4629,2021-11-29,Personal,3171424,6.78,240,14110.19,Closed
46300,4630,2021-06-07,Education,4123723,13.8,60,78213.28,Closed
46301,4630,2021-11-30,Gold,6958408,8.72,60,126086.35,Active
46310,4631,2022-12-03,Auto,1416379,8.62,24,64102.95,Closed
46311,4631,2021-07-09,Gold,3300320,8.03,120,29711.13,Closed
46312,4631,2023-10-09,Education,5012839,16.36,240,24303.91,Closed
46320,4632,2023-11-28,Business,1692160,10.28,60,31101.9,Closed
46321,4632,2020-02-16,Gold,5363875,13.42,24,253487.79,Default
46330,4633,2021-06-08,Business,4653717,15.19,60,89343.61,Closed
46331,4633,2022-10-30,Gold,7902096,13.13,12,744970.1,Active
46340,4634,2020-04-06,Business,285828,10.93,12,26422.42,Active
46341,4634,2021-02-28,Home,2589238,6.85,36,76850.02,Default
46350,4635,2024-03-05,Auto,2760564,13.7,120,26156.34,Closed
46351,4635,2025-01-29,Personal,3838142,12.36,60,71875.61,Active
46352,4635,2024-01-14,Personal,3023081,11.92,60,56390.54,Default
46360,4636,2021-02-13,Business,7838987,7.89,240,35239.51,Active
46370,4637,2021-08-01,Personal,1514671,15.96,180,9757.85,Closed
46371,4637,2023-03-30,Education,1352976,8.73,60,24518.18,Closed
46372,4637,2022-12-17,Personal,6973475,17.36,180,45467.06,Active
46380,4638,2020-01-28,Auto,5986996,17.01,120,58378.2,Default
46381,4638,2020-12-01,Business,2371908,13.39,300,8965.02,Active
46382,4638,2020-09-07,Home,5027038,16.92,120,48980.11,Active
46390,4639,2021-03-11,Home,6067864,13.24,180,38173.61,Active
46391,4639,2024-05-31,Education,788488,12.29,60,14756.55,Active
46400,4640,2023-10-24,Business,3946861,17.91,300,15512.48,Active
46401,4640,2022-07-06,Business,5466091,13.54,36,172394.44,Closed
46410,4641,2024-11-14,Gold,4511186,6.68,120,40104.44,Active
46411,4641,2025-02-12,Business,125483,8.23,180,754.5,Active
46420,4642,2020-06-17,Education,2563113,14.34,240,12211.1,Active
46430,4643,2021-02-07,Personal,683944,9.68,12,62512.48,Default
46440,4644,2022-03-17,Home,6445475,6.76,36,191144.14,Closed
46441,4644,2023-02-14,Gold,4150650,10.84,300,15335.27,Default
46450,4645,2021-12-23,Personal,6974959,15.13,240,33459.46,Active
46451,4645,2020-06-24,Auto,1244980,8.64,60,22542.44,Closed
46460,4646,2020-03-30,Home,1149271,7.54,300,4119.75,Active
46461,4646,2022-10-13,Personal,4750331,8.35,24,214457.65,Active
46462,4646,2022-11-03,Gold,3129295,16.78,60,60906.51,Active
46470,4647,2023-08-14,Education,6189249,16.51,240,30046.23,Active
46471,4647,2020-04-01,Home,2455691,10.89,60,45385.26,Active
46472,4647,2020-11-06,Home,2765097,17.86,36,90526.2,Active
46480,4648,2021-06-15,Personal,4022862,13.7,240,19058.31,Active
46490,4649,2021-07-12,Personal,7199269,9.31,12,655793.41,Active
46500,4650,2021-02-05,Gold,7254549,10.97,60,134172.88,Closed
46501,4650,2020-01-24,Personal,4406613,14.98,12,422226.97,Active
46502,4650,2021-04-07,Home,3149660,14.77,240,15061.94,Closed
46510,4651,2022-05-13,Gold,2073710,9.13,120,18858.66,Active
46511,4651,2020-04-10,Gold,1749612,9.97,60,32067.47,Closed
46512,4651,2023-11-15,Home,4677126,10.58,240,21549.86,Closed
46520,4652,2020-08-07,Auto,4799304,10.3,120,44113.6,Active
46521,4652,2025-05-31,Gold,697448,12.19,36,21735.19,Active
46522,4652,2021-06-20,Home,6766369,6.73,36,200604.05,Active
46530,4653,2022-09-25,Gold,491775,11.01,300,1819.73,Active
46531,4653,2020-02-19,Business,3333269,10.69,120,30746.63,Active
46532,4653,2024-03-28,Gold,2066364,7.99,24,92977.77,Closed
46540,4654,2025-01-30,Auto,1321685,9.13,120,12019.62,Closed
46550,4655,2024-06-19,Gold,5537105,8.39,60,100027.8,Active
46551,4655,2024-03-04,Education,1308933,10.62,24,60330.9,Active
46552,4655,2020-02-17,Personal,531853,17.1,36,17300.0,Active
46560,4656,2021-02-06,Business,4401007,9.95,24,201621.13,Closed
46561,4656,2020-02-05,Gold,813614,15.77,180,5232.89,Closed
46562,4656,2025-03-26,Home,4583057,11.64,300,17055.08,Active
46570,4657,2022-07-27,Business,4327396,15.9,180,27863.62,Active
46580,4658,2023-06-12,Business,267044,14.23,24,12710.18,Default
46581,4658,2021-02-03,Auto,653735,12.56,120,6132.03,Active
46590,4659,2021-10-16,Home,5780937,6.77,120,51435.89,Closed
46591,4659,2020-10-03,Business,6494644,9.93,300,23798.54,Closed
46600,4660,2020-05-31,Education,7977619,14.46,240,38046.59,Active
46601,4660,2020-06-14,Education,4141751,7.03,36,123136.56,Closed
46602,4660,2021-07-10,Personal,4962897,8.06,300,17876.35,Closed
46610,4661,2020-11-07,Auto,1307083,11.98,120,12197.26,Active
46611,4661,2020-03-19,Home,7952605,6.96,120,70884.22,Active
46612,4661,2021-08-10,Gold,1916821,15.24,36,61359.57,Closed
46620,4662,2023-09-10,Personal,252853,13.74,60,4793.25,Active
46630,4663,2024-05-24,Business,492554,7.36,120,4406.72,Closed
46631,4663,2021-11-09,Auto,1986793,6.79,12,176808.02,Default
46632,4663,2022-02-27,Education,2568431,10.88,60,47464.6,Active
46640,4664,2022-04-19,Home,530165,9.08,180,3212.8,Active
46641,4664,2023-06-03,Gold,344786,14.73,180,2197.63,Active
46650,4665,2020-11-15,Personal,7814562,15.09,240,37474.08,Closed
46660,4666,2021-11-13,Business,4505393,14.65,300,17218.11,Closed
46670,4667,2022-06-06,Gold,916929,15.92,300,3543.01,Closed
46680,4668,2025-01-10,Personal,4340932,11.67,240,20197.99,Default
46681,4668,2022-05-05,Education,4555635,11.41,300,16918.11,Active
46690,4669,2023-10-15,Education,7251951,8.25,180,43612.43,Closed
46700,4670,2023-08-09,Gold,3493434,7.99,180,20958.66,Default
46701,4670,2021-08-23,Business,4911331,10.27,36,150436.8,Active
46710,4671,2024-02-04,Education,6592692,14.19,240,31367.48,Active
46711,4671,2022-05-12,Auto,7049419,12.99,180,44250.77,Closed
46720,4672,2022-07-09,Business,661555,6.67,60,11761.35,Active
46730,4673,2020-10-24,Education,7992719,10.04,12,732932.33,Active
46731,4673,2023-06-09,Personal,6932189,17.86,24,340428.25,Default
46740,4674,2025-04-24,Home,1058268,7.71,12,94988.37,Active
46741,4674,2023-01-07,Personal,3910753,6.91,240,17420.78,Active
46742,4674,2020-07-26,Business,7371031,10.2,120,67690.63,Active
46750,4675,2020-07-09,Auto,1892352,12.43,120,17729.76,Active
46751,4675,2020-11-07,Gold,1509231,12.36,240,7065.72,Closed
